0,3D
1,1D
2,2D
3,2D
4,1D
5,1D
6,2D
7,2D
8,1D
9,2D
10,2D
11,2D
12,0D
13,1D
14,1D
15,1D
16,0D
17,2D
18,1D
19,1D
20,2D
21,2D
22,2D
23,1D
24,1D
25,1D
26,2D
27,2D
28,2D
29,2D
30,1D
31,1D
32,1D
33,3D
34,1D
35,1D
36,1D
37,2D
38,2D
39,1D
40,1D
41,1D
42,1D
43,1D
44,1D
45,1D
46,1D
47,1D
48,1D
49,1D
50,0D
51,0D
52,1D
53,1D
54,1D
55,2D
56,1D
57,1D
58,1D
59,1D
60,1D
61,1D
62,0D
63,2D
64,2D
65,0D
66,0D
67,1D
68,2D
69,2D
70,3D
71,2D
72,1D
73,2D
74,1D
75,2D
76,2D
77,1D
78,1D
79,1D
80,2D
81,1D
82,1D
83,1D
84,1D
85,1D
86,1D
87,1D
88,1D
89,1D
90,1D
91,1D
92,1D
93,1D
94,1D
95,1D
96,1D
97,1D
98,1D
99,1D
100,1D
101,1D
102,2D
103,1D
104,2D
105,1D
106,2D
107,1D
108,1D
109,1D
110,1D
111,0D
112,1D
113,1D
114,1D
115,1D
116,1D
117,1D
118,1D
119,1D
120,1D
121,2D
122,2D
123,2D
124,1D
125,2D
126,1D
127,2D
128,2D
129,2D
130,1D
131,2D
132,0D
133,1D
134,1D
135,1D
136,1D
137,1D
138,1D
139,1D
140,1D
141,1D
142,1D
143,1D
144,2D
145,2D
146,0D
147,2D
148,2D
149,2D
150,1D
151,1D
152,1D
153,0D
154,0D
155,0D
156,0D
157,2D
158,1D
159,1D
160,1D
161,3D
162,3D
163,3D
164,3D
165,3D
166,3D
167,3D
168,3D
169,3D
170,3D
171,3D
172,3D
173,3D
174,3D
175,3D
176,3D
177,3D
178,3D
179,3D
180,3D
181,3D
182,3D
183,3D
184,3D
185,3D
186,3D
187,3D
188,3D
189,3D
190,3D
191,3D
192,3D
193,3D
194,3D
195,3D
196,3D
197,3D
198,1D
199,0D
200,2D
201,2D
202,1D
203,1D
204,3D
205,3D
206,3D
207,3D
208,1D
209,1D
210,2D
211,2D
212,1D
213,2D
214,2D
215,1D
216,1D
217,1D
218,1D
219,2D
220,2D
221,1D
222,1D
223,2D
224,2D
225,2D
226,2D
227,2D
228,2D
229,2D
230,2D
231,2D
232,2D
233,2D
234,2D
235,1D
236,1D
237,1D
238,1D
239,2D
240,1D
241,2D
242,2D
243,2D
244,1D
245,1D
246,2D
247,2D
248,1D
249,1D
250,1D
251,2D
252,2D
253,2D
254,2D
255,2D
256,2D
257,2D
258,2D
259,1D
260,1D
261,1D
262,1D
263,1D
264,1D
265,1D
266,1D
267,1D
268,1D
269,1D
270,1D
271,1D
272,2D
273,2D
274,1D
275,3D
276,1D
277,0D
278,0D
279,1D
280,2D
281,1D
282,0D
283,1D
284,3D
285,3D
286,3D
287,1D
288,1D
289,0D
290,0D
291,1D
292,2D
293,2D
294,2D
295,2D
296,2D
297,3D
298,1D
299,2D
300,1D
301,2D
302,1D
303,1D
304,1D
305,1D
306,1D
307,0D
308,1D
309,2D
310,1D
311,1D
312,2D
313,2D
314,1D
315,1D
316,1D
317,1D
318,1D
319,0D
320,1D
321,1D
322,1D
323,1D
324,2D
325,2D
326,1D
327,2D
328,2D
329,2D
330,2D
331,2D
332,3D
333,1D
334,0D
335,0D
336,2D
337,2D
338,2D
339,1D
340,1D
341,2D
342,2D
343,2D
344,2D
345,2D
346,2D
347,1D
348,2D
349,1D
350,2D
351,1D
352,1D
353,1D
354,1D
355,1D
356,1D
357,2D
358,2D
359,2D
360,1D
361,1D
362,1D
363,1D
364,0D
365,2D
366,2D
367,2D
368,2D
369,2D
370,2D
371,2D
372,2D
373,1D
374,1D
375,1D
376,1D
377,1D
378,1D
379,2D
380,2D
381,2D
382,1D
383,1D
384,1D
385,2D
386,1D
387,2D
388,1D
389,1D
390,2D
391,1D
392,1D
393,2D
394,2D
395,2D
396,2D
397,2D
398,2D
399,2D
400,2D
401,1D
402,1D
403,1D
404,1D
405,0D
406,0D
407,2D
408,1D
409,1D
410,1D
411,2D
412,1D
413,3D
414,3D
415,1D
416,0D
417,1D
418,1D
419,1D
420,1D
421,2D
422,0D
423,2D
424,2D
425,2D
426,2D
427,2D
428,2D
429,2D
430,2D
431,2D
432,2D
433,2D
434,0D
435,2D
436,1D
437,2D
438,1D
439,1D
440,1D
441,1D
442,1D
443,1D
444,1D
445,1D
446,1D
447,1D
448,1D
449,1D
450,1D
451,1D
452,1D
453,1D
454,1D
455,1D
456,1D
457,2D
458,1D
459,2D
460,1D
461,1D
462,3D
463,1D
464,1D
465,1D
466,1D
467,1D
468,1D
469,1D
470,1D
471,1D
472,1D
473,2D
474,2D
475,2D
476,2D
477,1D
478,1D
479,1D
